nom_methode_dpe;version_methode_dpe;date_etablissement_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;annee_construction;surface_thermique_lot;latitude;longitude;tr001_modele_dpe_type_libelle;tr002_type_batiment_description;code_insee_commune_actualise;tv016_departement_code;geo_adresse;geo_score
3CL;3CL-DPE, version 1.3;10/04/2013;197;D;10;B;1993;64,85;;;Vente;Logement;74200;74;;0
3CL - DPE;V2012;01/04/2013;383,89;F;93,15;G;1970;89;;;Vente;Maison Individuelle;56049;56;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/05/2013;212;D;10;B;1983;42,25;;;Vente;Logement;19100;19;;0
3CL;3CL-DPE, version 1.3;09/04/2013;194;D;9;B;2006;111,03;;;Vente;Maison Individuelle;86580;86;;0
3CL;3CL-DPE, version 1.3;08/04/2013;206;D;10;B;2006;84;;;Vente;Logement;13013;13;;0
3CL - DPE;V2012;04/04/2013;494,04;G;29,29;D;1972;51;42,547654;2,381995;Vente;Logement;66222;66;11 Promenade Claude Nogue 66820 Vernet-les-Bains;0,68
3CL - DPE;V2012;06/04/2013;205,59;D;48,11;E;1963;85;47,999064;0,232017;Vente;Maison Individuelle;72181;72;13 Impasse Douce Amie 72000 Le Mans;0,97
3CL;3CL-DPE, version 1.3;10/04/2013;112;C;20;C;2001;115;;;Location;Maison Individuelle;35410;35;;0
MÇthode 3CL;3CL-DPE, version 1.3;16/04/2013;140;C;4;A;2001;164;;;Vente;Maison Individuelle;40090;40;;0
3CL - DPE;V2012;10/04/2013;329,01;E;76,99;F;1965;84,75;43,323833;-0,356516;Vente;Maison Individuelle;64445;64;24 rue de Lacq 64000 Pau;0,97
3CL;3CL-DPE, version 1.3;13/04/2013;322;E;17;C;1983;80;49,179488;-0,501815;Vente;Maison Individuelle;14470;14;4 Rue des Ecoles 14740 Saint-Manvieu-Norrey;0,44
3CL - DPE;V2012;02/05/2013;249,12;E;13,26;C;2006;91;48,14083;4,211108;Location;Maison Individuelle;10331;10;16bis Route de Nicey 10260 Rumilly-läs-Vaudes;0,82
3CL;3CL-DPE, version 1.3;05/04/2013;293;E;15;C;2006;91;;;Vente;Maison Individuelle;38780;38;;0
3CL;3CL-DPE, version 1.3;09/04/2013;281;E;65;F;1978;121,2;;;Vente;Maison Individuelle;23110;23;;0
3CL - DPE;V2012;02/05/2013;189,34;D;44,69;E;2000;95;;;Vente;Maison Individuelle;24303;24;;0
3CL - DPE;V2012;12/04/2013;280,67;E;13,56;C;2008;85;43,881069;1,251125;Vente;Maison Individuelle;82017;82;192 Rue Jules Ferry 82170 Bessens;0,95
FACTURE;VERSION_2012;12/04/2013;261,42;E;0;A;1970;8,75;48,81497;2,137595;Vente;Logement;78646;78;9 Rue Mansart 78000 Versailles;0,97
MÇthode 3CL;3CL-DPE, version 1.3;17/04/2013;306;E;61;F;1948;128;47,246612;-0,094598;Vente;Maison Individuelle;49328;49;129 Rue de DouÇ 49400 Saumur;0,67
MÇthode Facture;;11/04/2013;323;E;75;F;1947;90;;;Vente;Logement;95470;95;;0
3CL - DPE;V2012;23/04/2013;219,47;D;52,89;E;1900;108,7;47,386943;2,876888;Vente;Maison Individuelle;18020;18;25 Rue des Bonnins 18300 Bannay;0,52
3CL - DPE;V2012;13/04/2013;147,87;C;23,21;D;1963;188;48,9127;8,006795;Vente;Maison Individuelle;67069;67;35 Rue des Pres 67470 Buhl;0,34
MÇthode Facture;;20/04/2013;0;N;0;N;1947;42;;;Vente;Maison Individuelle;83590;02;;0
3CL;3CL-DPE, version 1.3;05/04/2013;97;C;4;A;1984;125;;;Vente;Maison Individuelle;42410;42;;0
3CL - DPE;V2012;08/04/2013;145,82;C;27,45;D;1976;88,48;50,585672;2,670818;Vente;Maison Individuelle;62252;62;555 Rue des Lobes 62136 La Couture;0,96
MÇthode 3CL;3CL-DPE, version 1.3;27/04/2013;221;D;3;A;2006;78,2;44,77351;6,954523;Location;Logement;05120;05;Rue de la Bluette 05460 Abriäs-Ristolas;0,4
3CL;3CL-DPE, version 1.3;06/04/2013;282;E;69;F;1948;118;48,551386;6,967022;Vente;Maison Individuelle;54540;54;Rue de Badonviller 54480 Val-et-ChÉtillon;0,43
FACTURE - DPE;V2012;09/04/2013;131,56;C;22,29;D;2006;101;45,509942;1,315924;Neuf;Maison Individuelle;87049;87;9 Rue de l?Oradour 87500 Coussac-Bonneval;0,8
MÇthode 3CL;3CL-DPE, version 1.3;29/04/2013;328;E;15;C;1981;90;;;Vente;Maison Individuelle;89500;89;;0
3CL - DPE;V2012;08/04/2013;243,74;E;57,04;F;1980;31,74;;;Vente;Logement;76183;76;;0
MÇthode 3CL;3CL-DPE, version 1.3;03/04/2013;152;D;9;B;1989;130;;;Vente;Maison Individuelle;20250;2B;;0
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;195;D;9;B;1989;35;;;Vente;Maison Individuelle;11430;11;;0
TROIS_CL_DPE;VERSION_2012;15/04/2013;118,16;C;25,02;D;1970;150;44,09264;4,914645;Vente;Maison Individuelle;84039;84;236 Chemin des Sarrassanes 3 84350 CourthÇzon;0,88
FACTURE - DPE;V2012;09/04/2013;29,54;A;6,91;B;2006;87,5;45,631007;0,165321;Neuf;Maison Individuelle;16015;16;Hameau des Rossignols 16000 Angoulàme;0,85
3CL - DPE;V2012;11/04/2013;143,68;C;4,01;A;1930;171;43,196741;0,158735;Vente;Maison Individuelle;65010;65;Avenue de Toulouse 65690 Angos;0,55
MÇthode 3CL;3CL-DPE, version 1.3;12/04/2013;395;F;92;G;1948;90;;;Vente;Maison Individuelle;60200;60;;0
3CL;3CL-DPE, version 1.3;11/04/2013;296;E;20;C;1989;22,63;;;Vente;Logement;25200;25;;0
MÇthode 3CL;3CL-DPE, version 1.3;16/04/2013;326;E;18;C;2006;107;;;Vente;Maison Individuelle;03360;03;;0
TROIS_CL_DPE;VERSION_2012;11/04/2013;149,59;C;6,7;B;2008;131;;;Vente;Maison Individuelle;57048;57;;0
3CL;3CL-DPE, version 1.3;12/04/2013;132;C;29;D;5200;190;46,040911;5,317098;Vente;Maison Individuelle;01430;01;3 Impasse du Foyer Rural 01160 Varambon;0,4
MÇthode Facture;;24/04/2013;125;C;29;D;1947;104;;;Vente;Maison Individuelle;52170;52;;0
TROIS_CL_DPE;VERSION_2012;09/04/2013;140,94;C;32,98;D;2010;112,77;;;Location;Maison Individuelle;45072;45;;0
MÇthode Facture;;15/04/2013;0;N;0;N;1947;87,5;;;Vente;Logement;30160;30;;0
MÇthode 3CL;3CL-DPE, version 1.3;06/05/2013;326;E;14;C;1948;90;;;Vente;Logement;04320;04;;0
3CL - DPE;V2012;09/04/2013;228,7;D;9,19;B;1985;24,89;43,134727;6,23576;Vente;Logement;83071;83;Place Victor Hugo 83250 La Londe-les-Maures;0,97
3CL;3CL-DPE, version 1.3;08/04/2013;146;C;34;D;1989;123,4;;;Vente;Maison Individuelle;91510;91;;0
3CL - DPE;V2012;10/04/2013;80,45;B;18,03;C;2012;75,3;47,198716;-1,591231;Location;Logement;44109;44;3 Chemin Poisson 44100 Nantes;0,97
3CL;3CL-DPE, version 1.3;09/04/2013;276;E;15;C;1948;77,14;;;Location;Logement;33650;33;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/04/2013;221;D;10;B;1989;112;48,192096;6,28652;Vente;Maison Individuelle;88210;88;Rue de la Gitte 88270 Gorhey;0,33
3CL;3CL-DPE, version 1.3;09/04/2013;203;D;47;E;1975;150;48,647306;2,960379;Vente;Maison Individuelle;77135;77;24 Rue de l'Yvron 77540 Courpalay;0,5
MÇthode 3CL;3CL-DPE, version 1.3;16/04/2013;155;D;9;B;2001;105;;;Vente;Maison Individuelle;32110;32;;0
MÇthode 3CL;3CL-DPE, version 1.3;29/04/2013;231;E;69;F;1989;120;;;Vente;Maison Individuelle;73350;73;;0
MÇthode 3CL;3CL-DPE, version 1.3;18/04/2013;298;E;11;C;1983;105;49,132218;0,847223;Vente;Maison Individuelle;27210;27;Chemin de la Grande Rangee 27170 êcardenville-la-Campagne;0,46
3CL - DPE;V2012;04/04/2013;253,77;E;14,32;C;1984;124;43,656307;3,971334;Vente;Maison Individuelle;34327;34;12bis Rue du Peyrou 34740 Vendargues;0,82
TROIS_CL_DPE;VERSION_2012;09/05/2013;358,04;F;20,31;C;1975;172,5;;;Vente;Maison Individuelle;15013;15;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/04/2013;174;D;52;E;2001;87,56;;;Vente;Maison Individuelle;07610;07;;0
3CL;3CL-DPE, version 1.3;11/04/2013;212;D;63;F;1948;124;;;Vente;Maison Individuelle;50690;50;;0
3CL - DPE;V2012;03/04/2013;0;N;0;N;1947;71;;;Vente;Logement;43151;43;;0
FACTURE;VERSION_2012;25/04/2013;282,41;E;239,06;G;1900;114,75;48,620777;-3,273484;Vente;Maison Individuelle;22004;22;5 Ker Daniou 22140 BÇgard;0,35
3CL;3CL-DPE, version 1.3;03/04/2013;326;E;18;C;1983;69,84;;;Vente;Maison Individuelle;79800;79;;0
FACTURE;VERSION_2012;05/04/2013;64,42;B;0,99;A;1940;109,5;45,647512;-0,606351;Vente;Maison Individuelle;17044;17;16 Rue de la Petite Pouyade 17460 Berneuil;0,31
3CL - DPE;V2012;10/04/2013;416,56;F;21,73;D;1980;100,71;45,763952;4,966761;Vente;Maison Individuelle;69275;69;28 Rue de Verdun 69150 DÇcines-Charpieu;0,97
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;293;E;56;F;1948;110;48,499222;0,696896;Vente;Maison Individuelle;61220;61;La Pessemaliere 61290 Longny les Villages;0,49
Facture;facture;12/04/2013;0;N;0;N;1948;135;;;Vente;Maison Individuelle;63310;63;;0
MÇthode Facture;;17/04/2013;101;C;3;A;1947;118;;;Vente;Maison Individuelle;36400;36;;0
TROIS_CL_DPE;VERSION_2012;08/05/2013;287,13;E;86,14;G;1974;202,6;;;Vente;Maison Individuelle;12005;12;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/04/2013;181;D;42;E;1948;93;;;Vente;Maison Individuelle;55000;55;;0
3CL - DPE;V2012;17/04/2013;259,91;E;12,68;C;1999;64,2;47,879076;-4,003289;Vente;Maison Individuelle;29058;29;12 RÇsidence de Lespont 29170 Fouesnant;0,32
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;150;C;22;D;1990;110,05;;;Vente;Maison Individuelle;53810;53;;0
3CL - DPE;V2012;13/04/2013;363,57;F;11,84;C;1940;82,9;48,262866;7,226121;Vente;Maison Individuelle;68294;68;60 Rue Maurice Burrus 68160 Sainte-Croix-aux-Mines;0,96
TROIS_CL_DPE;VERSION_2012;16/04/2013;423,08;F;25,89;D;1975;110;;;Vente;Maison Individuelle;51050;51;;0
MÇthode Facture;;12/04/2013;153;D;35;D;1;84;;;Vente;Logement;93270;93;;0
Facture;facture;13/02/2013;0;N;0;N;1948;54,31;;;Vente;Logement;06400;06;;0
3CL - DPE;V2012;12/04/2013;374,33;F;87,59;G;1950;61,5;47,64196;6,852431;Vente;Logement;90010;90;24 Boulevard Jean-Marie de Lattre de Tassigny 90000 Belfort;0,74
MÇthode Facture;;06/05/2013;8;A;0;A;1947;102;;;Vente;Maison Individuelle;09000;09;;0
Facture;facture;12/04/2013;0;N;0;N;1948;180;;;Vente;Maison Individuelle;26780;26;;0
TROIS_CL_DPE;VERSION_2012;12/04/2013;257,96;E;10,81;B;2012;39,75;50,623443;3,069782;Location;Logement;59350;59;33 Rue de Douai 59000 Lille;0,98
3CL - DPE;V2012;03/04/2013;0;N;0;N;1980;93,64;47,023097;-2,292855;Vente;Maison Individuelle;85163;85;4 RÇsidence janvier 85330 Noirmoutier-en-l'◊le;0,95
MÇthode 3CL;3CL-DPE, version 1.3;24/04/2013;126;C;5;A;1983;65;;;Vente;Maison Individuelle;20137;2A;;0
3CL;3CL-DPE, version 1.3;09/04/2013;213;D;10;B;2006;42;;;Location;Logement;21000;21;;0
MÇthode 3CL;3CL-DPE, version 1.3;04/05/2013;336;F;18;C;1978;120;;;Location;Maison Individuelle;48200;48;;0
MÇthode Facture;;16/04/2013;269;E;63;F;1947;59,52;;;Vente;Logement;71600;71;;0
MÇthode 3CL;3CL-DPE, version 1.3;11/04/2013;233;E;22;D;2006;39;;;Location;Logement;;94;;0
3CL - DPE;V2012;16/04/2013;260,64;E;60,99;F;1960;82;44,191956;0,623322;Location;Maison Individuelle;47001;47;306 Rue Ferdinand David 47000 Agen;0,77
3CL;3CL-DPE, version 1.3;08/04/2013;200;D;6;B;2001;99;49,876314;1,840034;Vente;Maison Individuelle;80800;80;4 Hameau de Campsart 80140 Villers-Campsart;0,33
3CL - DPE;V2012;06/05/2013;197,53;D;7,94;B;1982;53,5;;;Vente;Logement;46145;46;;0
3CL - DPE;V2012;30/04/2013;273,05;E;52,26;E;1940;85,12;;;Location;Maison Individuelle;58042;58;;0
3CL;3CL-DPE, version 1.3;08/04/2013;177;D;9;B;2001;70,66;;;Vente;Logement;31200;31;;0
MÇthode Facture;;11/04/2013;249;E;15;C;1947;54;48,930427;2,416435;Vente;Logement;75013;75;32 Rue de Verdun 93350 Le Bourget;0,44
3CL - DPE;V2012;04/05/2013;318,28;E;17,88;C;1977;90;47,149928;5,549608;Vente;Maison Individuelle;39121;39;1 Chemin des Sablonniäres 39700 ChÉtenois;0,58
MÇthode Facture;;12/04/2013;0;N;0;N;1947;75;;;Location;Maison Individuelle;28700;28;;0
3CL - DPE;V2012;09/04/2013;327,95;E;19,18;C;1975;107,6;47,499183;1,166697;Vente;Maison Individuelle;41167;41;4 Rue des Champs Marquiers 41150 Veuzain-sur-Loire;0,96
MÇthode 3CL;3CL-DPE, version 1.3;30/04/2013;333;F;100;G;1948;144,6;43,602992;2,227149;Vente;Maison Individuelle;81065;81;80 Chemin du Corporal 81100 Castres;0,97
TROIS_CL_DPE;VERSION_2012;08/04/2013;242,02;E;11,68;C;1980;64,05;48,892677;2,248853;Location;Logement;92026;92;25 Rue D 'Essling 92400 Courbevoie;0,97
3CL - DPE;V2012;03/04/2013;265,27;E;62,07;F;1900;70;;;Vente;Maison Individuelle;37038;37;;0
MÇthode Facture;;20/04/2013;196;D;44;E;1947;124,01;;;Location;Maison Individuelle;70400;70;;0
MÇthode Facture;;02/05/2013;351;F;82;G;1947;122,32;;;Vente;Logement;08000;08;;0
3CL;3CL-DPE, version 1.3;11/04/2013;147;C;34;D;1989;200;;;Vente;Maison Individuelle;37400;37;;0
3CL;3CL-DPE, version 1.3;10/04/2013;468;G;111;G;1948;64,23;;;Vente;Maison Individuelle;42300;42;;0
3CL - DPE;V2012;06/05/2013;268,74;E;62,89;F;1974;117;;;Vente;Maison Individuelle;46180;46;;0
3CL;3CL-DPE, version 1.3;12/04/2013;439;F;102;G;1948;64,34;;;Location;Logement;94130;94;;0
FACTURE - DPE;V2012;26/04/2013;140,75;N;4,58;N;1948;47;44,205496;0,629098;Vente;Logement;47001;47;24 Avenue Henri-barbusse 47000 Agen;0,98
MÇthode 3CL;3CL-DPE, version 1.3;02/05/2013;131;C;23;D;1989;117,5;46,526381;-0,680898;Vente;Maison Individuelle;85170;85;17 Rue des martyrs 85240 Foussais-PayrÇ;0,47
MÇthode Facture;;06/05/2013;179;D;42;E;1947;274,6;;;Vente;Maison Individuelle;09500;09;;0
TROIS_CL_DPE;VERSION_2012;12/04/2013;324,38;E;18,48;C;1973;84;48,342988;1,498835;Vente;Maison Individuelle;28122;28;10 Rue de la Vigne 28360 Dammarie;0,59
3CL - DPE;V2012;11/04/2013;277,94;E;14,41;C;1975;165,94;47,763205;0,402237;Location;Maison Individuelle;72028;72;Lieu Dit la Rateliere 72500 Beaumont-Pied-de-B?uf;0,57
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;335;F;17;C;1975;115,85;;;Location;Maison Individuelle;84220;84;;0
3CL - DPE;V2012;12/04/2013;0;N;0;N;1930;100,8;48,262866;7,226121;Vente;Logement;68294;68;60 Rue Maurice Burrus 68160 Sainte-Croix-aux-Mines;0,96
MÇthode 3CL;3CL-DPE, version 1.3;24/04/2013;363;F;85;G;1948;114;;;Vente;Maison Individuelle;55000;55;;0
3CL - DPE;V2012;10/04/2013;228,21;D;35,76;D;1947;197;;;Vente;Maison Individuelle;56264;56;;0
TROIS_CL_DPE;VERSION_2012;10/04/2013;353,56;F;18,79;C;2001;60;48,978313;3,023491;Vente;Maison Individuelle;77008;77;4 Rue de la Gillette 77440 Armentiäres-en-Brie;0,46
MÇthode 3CL;3CL-DPE, version 1.3;18/04/2013;220;D;11;C;1948;104,5;;;Location;Maison Individuelle;49650;49;;0
3CL - DPE;V2012;24/04/2013;282,94;E;15,38;C;2003;95;47,387203;2,873176;Vente;Maison Individuelle;18020;18;Rue des Chenus 18300 Bannay;0,37
3CL - DPE;V2012;22/04/2013;116,6;C;27,28;D;1947;69,8;;;Vente;Logement;70064;70;;0
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;271;E;16;C;2001;160;;;Vente;Maison Individuelle;20218;2B;;0
3CL - DPE;V2012;10/04/2013;144,13;C;4,44;A;1996;67;43,655901;4,00428;Vente;Maison Individuelle;34022;34;1 Rue du Colombier 34670 Baillargues;0,74
MÇthode 3CL;3CL-DPE, version 1.3;09/04/2013;185;D;7;B;1989;73;43,6499136;6,9217641;Vente;Logement;30420;30;Avenue FrÇdÇric Mistral (Pont) Grasse;0,72
3CL - DPE;V2012;18/04/2013;301,95;E;15,35;C;1996;55;49,24505;4,048498;Vente;Logement;51454;51;91bis boulevard Henry Vasnier 51100 Reims;0,89
3CL - DPE;V2012;02/05/2013;292,71;E;87,81;G;1974;152;48,058214;4,13875;Vente;Maison Individuelle;10080;10;1 Rue des Cannes 10210 Chaource;0,95
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;145;C;6;B;1978;35;;;Vente;Logement;11430;11;;0
FACTURE - DPE;V2012;09/04/2013;28,32;A;6,63;B;2006;87,5;45,631007;0,165321;Neuf;Maison Individuelle;16015;16;Hameau des Rossignols 16000 Angoulàme;0,85
MÇthode 3CL;3CL-DPE, version 1.3;11/04/2013;344;F;19;C;1989;39;;;Vente;Logement;95800;95;;0
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;347;F;81;G;1948;74;;;Vente;Maison Individuelle;93290;93;;0
MÇthode Facture;;15/04/2013;192;D;6;B;1947;91;;;Vente;Maison Individuelle;36400;36;;0
MÇthode 3CL;3CL-DPE, version 1.3;06/05/2013;191;D;8;B;1968;61,05;;;Vente;Logement;20000;2A;;0
MÇthode Facture;;21/04/2013;158;D;37;E;1947;137;;;Vente;Maison Individuelle;03800;03;;0
MÇthode 3CL;3CL-DPE, version 1.3;07/04/2013;365;F;23;D;1948;205;;;Vente;Maison Individuelle;05200;05;;0
FACTURE - DPE;V2012;02/05/2013;58,71;N;1,91;N;1948;140;;;Vente;Maison Individuelle;75056;24;;0
MÇthode Facture;;15/04/2013;232;E;7;B;1947;120;;;Vente;Maison Individuelle;61700;61;;0
MÇthode Facture;;16/04/2013;379;F;12;C;1947;31;;;Vente;Logement;92600;92;;0
MÇthode 3CL;3CL-DPE, version 1.3;17/04/2013;225;D;52;E;1948;80;;;Vente;Logement;26200;26;;0
MÇthode Facture;;21/05/2013;0;N;0;N;1947;82;;;Vente;Maison Individuelle;15310;15;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/05/2013;654;G;8;B;1948;18;;;Vente;Maison Individuelle;12290;12;;0
MÇthode Facture;;09/04/2013;211;D;49;E;1947;128;;;Vente;Maison Individuelle;80300;80;;0
MÇthode 3CL;3CL-DPE, version 1.3;22/04/2013;96;C;4;A;2009;121,8;;;Vente;Maison Individuelle;29870;29;;0
3CL - DPE;V2012;15/04/2013;159,22;D;37,26;E;1983;112;47,503105;1,178854;Vente;Maison Individuelle;41167;41;1 Rue du Docteur Jean Girault 41150 Veuzain-sur-Loire;0,58
3CL - DPE;V2012;05/04/2013;321,88;E;77,9;F;1969;94,5;42,604011;2,402329;Location;Maison Individuelle;66161;66;6 Rue du Pla 66500 Ria-Sirach;0,95
MÇthode Facture;;11/04/2013;692;G;22;D;1947;23,86;48,757397;2,272992;Vente;Logement;75019;75;32 Rue des Grillons 92290 ChÉtenay-Malabry;0,41
TROIS_CL_DPE;VERSION_2012;19/04/2013;208,37;D;10,65;B;1985;100;43,697005;0,081782;Vente;Maison Individuelle;32001;32;Impasse des Ecoles 32290 Aignan;0,3
3CL;3CL-DPE, version 1.3;09/04/2013;221;D;11;C;2001;49,41;;;Vente;Logement;31300;31;;0
3CL - DPE;V2012;03/05/2013;155;D;7;B;2004;152;;;Vente;Maison Individuelle;0;52;;0
3CL - DPE;V2012;03/04/2013;299,81;E;17,4;C;1975;115;49,719264;0,328042;Vente;Maison Individuelle;76291;76;73 Rue des Pres 76400 Froberville;0,94
3CL - DPE;V2012;03/04/2013;0;N;0;N;1947;32;;;Vente;Logement;43151;43;;0
MÇthode Facture;;17/04/2013;154;D;33;D;1947;163;;;Vente;Maison Individuelle;23300;23;;0
TROIS_CL_DPE;VERSION_2012;29/04/2013;276,18;E;35,73;D;1975;133;;;Vente;Maison Individuelle;22030;22;;0
3CL - DPE;V2012;04/04/2013;117,29;C;35,19;D;1900;68;45,444838;3,306947;Vente;Maison Individuelle;63022;63;4 Rue de la Roche 63570 Auzat-la-Combelle;0,5
MÇthode Facture;;16/04/2013;172;D;5;A;1947;94;50,551433;3,052942;Vente;Maison Individuelle;59560;59;Rue des Paves 59113 Seclin;0,42
3CL;3CL-DPE, version 1.3;09/04/2013;204;D;8;B;2001;42,03;;;Vente;Logement;44600;44;;0
MÇthode 3CL;3CL-DPE, version 1.3;12/04/2013;395;F;92;G;1948;90;;;Vente;Maison Individuelle;60200;60;;0
MÇthode 3CL;3CL-DPE, version 1.3;17/04/2013;219;D;51;E;1948;105;;;Vente;Maison Individuelle;53000;53;;0
TROIS_CL_DPE;VERSION_2012;11/04/2013;454,77;G;88,51;G;1960;217;49,0989;6,714622;Vente;Maison Individuelle;57606;57;8 Rue des Vergers 57500 Saint-Avold;0,96
MÇthode 3CL;3CL-DPE, version 1.3;07/05/2013;657;G;41;E;1975;32;;;Vente;Logement;48000;48;;0
3CL - DPE;V2012;11/04/2013;538,77;G;122,47;G;1957;67,09;43,207905;0,097102;Vente;Maison Individuelle;65433;65;1 Impasse Gabriel PÇri 65430 Soues;0,95
MÇthode 3CL;3CL-DPE, version 1.3;18/04/2013;294;E;16;C;2006;87;;;Location;Maison Individuelle;71600;71;;0
3CL;3CL-DPE, version 1.3;11/04/2013;184;D;8;B;1989;66;;;Vente;Maison Individuelle;79800;79;;0
MÇthode Facture;;24/04/2013;246;E;8;B;1947;42;;;Vente;Logement;25200;25;;0
3CL - DPE;V2012;29/04/2013;201,56;D;10,37;B;2012;107,4;;;Vente;Maison Individuelle;81286;81;;0
MÇthode Facture;;30/04/2013;0;N;0;N;1947;67,83;;;Vente;Logement;08000;08;;0
3CL - DPE;V2012;03/05/2013;212;D;11;C;2005;91;;;Vente;Maison Individuelle;02198;58;;0
TROIS_CL_DPE;VERSION_2012;11/04/2013;282,4;E;16,24;C;1980;67,16;47,898634;1,897909;Location;Logement;45234;45;2bis Rue Stanislas Julien 45000 OrlÇans;0,87
MÇthode 3CL;3CL-DPE, version 1.3;22/04/2013;219;D;7;B;2012;110;;;Vente;Maison Individuelle;21120;21;;0
Facture;facture;09/04/2013;0;N;0;N;6060;80;;;Vente;Maison Individuelle;83630;83;;0
MÇthode 3CL;3CL-DPE, version 1.3;15/05/2013;158;D;37;E;2000;47;;;Vente;Logement;19100;19;;0
TROIS_CL_DPE;VERSION_2012;19/04/2013;425,86;F;102,09;G;1967;68,2;48,989222;1,162616;Vente;Maison Individuelle;27017;27;23 Rue du Parc 27930 Angerville-la-Campagne;0,5
3CL;3CL-DPE, version 1.3;08/04/2013;71;B;16;C;1989;78;;;Vente;Logement;06800;06;;0
TROIS_CL_DPE;VERSION_2012;12/04/2013;163,01;D;38,14;E;1980;98,07;48,768965;2,041696;Vente;Logement;78423;78;3 Rue Christophe Colomb 78180 Montigny-le-Bretonneux;0,96
3CL;3CL-DPE, version 1.3;10/04/2013;177;D;41;E;1984;79,04;;;Vente;Maison Individuelle;91560;91;;0
3CL;3CL-DPE, version 1.3;10/04/2013;254;E;47;E;1978;97;;;Location;Maison Individuelle;69470;69;;0
3CL - DPE;V2012;18/04/2013;103,5;C;6,69;B;1950;249,79;43,999676;1,408905;Vente;Maison Individuelle;82121;82;2173 Route de Saint- Martial 82000 Montauban;0,81
MÇthode 3CL;3CL-DPE, version 1.3;12/04/2013;132;C;6;B;1983;175;;;Vente;Maison Individuelle;40390;40;;0
3CL - DPE;V2012;04/05/2013;306,73;E;71,78;F;1949;83,42;46,729853;5,497603;Vente;Maison Individuelle;39471;39;145 Bard 39140 Ruffey-sur-Seille;0,95
3CL - DPE;V2012;02/05/2013;227,91;D;53,33;E;1930;112;48,318483;3,124014;Vente;Maison Individuelle;89074;89;20 Rue des Caves 89340 Champigny;0,55
MÇthode 3CL;3CL-DPE, version 1.3;29/04/2013;225;D;52;E;2001;37,5;45,506318;6,569326;Vente;Logement;73190;73;Rue des longes 73600 Notre-Dame-du-PrÇ;0,37
3CL;3CL-DPE, version 1.3;11/04/2013;212;D;63;F;1948;124;;;Vente;Maison Individuelle;50690;50;;0
MÇthode 3CL;3CL-DPE, version 1.3;08/05/2013;48;A;0;A;2011;103;43,848886;6,659022;Location;Maison Individuelle;04210;04;Chemin des Grands PrÇs 04120 Soleilhas;0,58
3CL - DPE;V2012;11/04/2013;390,6;F;23,83;D;1981;135,4;45,882442;0,860457;Vente;Maison Individuelle;87030;87;Rue de la Ribiäre 87200 Chaillac-sur-Vienne;0,52
3CL;3CL-DPE, version 1.3;11/04/2013;276;E;35;D;1948;105,07;;;Vente;Maison Individuelle;35000;35;;0
3CL - DPE;V2012;17/04/2013;54,04;B;12,65;C;1850;53,38;43,297294;-0,364592;Vente;Logement;64445;64;11 rue Mathieu Lalanne 64000 Pau;0,97
3CL;3CL-DPE, version 1.3;13/04/2013;169;D;39;E;1989;98;;;Vente;Maison Individuelle;14790;14;;0
MÇthode 3CL;3CL-DPE, version 1.3;15/04/2013;487;G;114;G;1948;95;;;Vente;Maison Individuelle;90000;90;;0
MÇthode Facture;;05/04/2013;211;D;33;D;1947;97,5;;;Location;Logement;38200;38;;0
3CL;3CL-DPE, version 1.3;11/04/2013;0;N;0;N;1975;20,9;;;Vente;Logement;74110;74;;0
MÇthode Facture;;16/04/2013;185;D;55;E;1947;84,5;;;Location;Logement;67000;67;;0
3CL - DPE;V2012;13/04/2013;589,9;G;52,49;E;1952;51,77;50,465979;1,589028;Vente;Maison Individuelle;62571;62;126 Rue des Flaques 62155 Merlimont;0,95
3CL;3CL-DPE, version 1.3;09/04/2013;293;E;16;C;1948;45,22;;;Location;Logement;33650;33;;0
3CL;3CL-DPE, version 1.3;12/04/2013;193;D;10;B;2001;123,45;;;Vente;Maison Individuelle;86600;86;;0
3CL - DPE;V2012;17/04/2013;200,38;D;41,81;E;1947;136;;;Vente;Maison Individuelle;2336;02;;0
FACTURE;VERSION_2012;05/04/2013;64,42;B;0,99;A;1940;109,5;45,647512;-0,606351;Vente;Maison Individuelle;17044;17;16 Rue de la Petite Pouyade 17460 Berneuil;0,31
MÇthode 3CL;3CL-DPE, version 1.3;08/04/2013;107;C;32;D;1989;136;;;Vente;Maison Individuelle;13610;13;;0
MÇthode Facture;;15/04/2013;286;E;9;B;1;106,87;45,927488;5,230195;Vente;Maison Individuelle;01450;01;Rue du Chateau 01800 Villieu-Loyes-Mollon;0,58
